Process,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,num_total,num_local,num_remote,L
P10,2,0,0,0,0,0,1,4,1,0,0,2,2,0,1,2,1,7,1,1,1,3,4,3,0,0,2,4,0,1,2,4,1,0,3,1,0,1,2,0,0,1,1,8,0,0,0,2,2,2,3,0,0,1,0,4,5,1,1,1,0,1,4,0,94,0,94,26787.853495124
P11,3,1,1,0,4,2,7,0,0,9,0,0,4,1,5,4,0,0,0,0,1,3,4,5,2,0,0,0,1,1,1,0,1,1,3,0,5,2,1,1,0,1,6,2,0,1,0,5,0,2,0,1,3,5,0,0,2,0,0,0,0,0,2,8,111,0,111,26790.270783424
P12,1,1,4,1,1,0,0,0,0,1,7,4,1,0,1,2,1,0,4,0,2,1,0,2,0,0,1,0,11,4,0,0,0,4,0,1,0,2,0,3,0,0,0,0,1,1,0,0,1,1,0,0,2,0,5,0,1,2,2,1,5,0,3,0,85,1,84,26788.8418145174
P13,0,0,5,0,3,1,0,0,2,1,2,3,0,5,2,1,0,2,11,2,0,0,2,2,0,3,3,1,0,2,1,4,2,0,0,2,1,2,2,1,0,0,2,0,0,0,5,0,3,3,0,0,1,6,0,0,5,6,0,0,0,2,0,0,101,5,96,26787.461991313397
P14,0,4,0,4,3,3,6,4,0,2,3,10,3,1,4,2,1,0,3,0,0,0,3,4,1,3,7,0,0,2,2,1,0,0,2,2,8,1,0,1,3,2,0,2,0,2,3,0,5,2,2,1,1,1,0,1,2,1,3,1,0,2,3,1,128,4,124,26787.1102166212
P15,2,0,0,0,1,0,1,2,0,2,0,0,0,0,2,4,0,0,0,1,6,0,1,0,1,8,0,4,3,4,0,0,1,1,4,1,7,3,1,3,3,1,6,3,3,6,3,0,3,2,2,0,1,1,2,1,2,1,2,3,0,1,2,0,111,4,107,26789.2775774004
P16,1,2,1,0,2,0,0,1,3,5,1,0,1,0,0,1,1,0,0,2,2,1,1,0,0,0,0,0,2,4,2,0,1,1,0,0,0,3,2,0,5,4,2,1,1,0,1,1,0,1,0,2,2,0,0,2,2,1,0,1,7,2,1,0,76,1,75,26789.126168728202
P17,0,4,4,0,1,7,0,0,0,0,5,2,0,0,1,1,0,1,0,1,0,0,0,0,3,4,0,5,3,4,1,1,7,0,0,0,1,4,1,0,0,0,2,3,0,2,0,0,0,0,0,0,0,0,0,0,2,4,1,0,3,1,2,3,84,1,83,26790.063897135
P18,1,1,1,6,2,4,2,2,1,0,0,2,1,1,0,4,0,1,0,0,0,0,0,0,2,0,0,0,4,4,2,3,3,3,0,0,2,3,1,0,3,4,0,0,0,2,0,3,0,0,0,2,4,0,0,3,1,1,2,2,2,3,2,0,90,0,90,26789.064341069203
P19,1,4,1,2,6,2,1,5,3,0,2,3,1,5,2,2,1,1,4,1,1,1,0,0,0,0,1,1,1,0,1,2,2,2,5,3,0,1,1,6,6,7,0,2,0,2,1,3,1,0,0,0,2,3,0,2,0,1,2,5,2,1,1,0,116,1,115,26786.853403092206
P20,6,3,1,0,0,1,2,0,0,0,0,0,0,2,0,7,0,5,1,0,0,1,1,0,1,0,4,1,0,6,4,1,0,1,4,0,0,0,0,0,6,0,5,5,1,0,1,3,1,3,1,0,0,1,0,0,6,0,1,0,2,5,0,0,93,0,93,26788.6938099872
P21,0,3,1,2,1,0,0,0,1,1,2,0,4,2,3,3,1,2,0,0,1,5,2,1,0,2,7,3,0,0,0,0,3,1,1,5,2,0,0,7,1,0,0,0,2,1,2,1,0,0,0,0,0,3,0,2,1,1,0,1,3,4,2,2,92,5,87,26789.300520896002
P22,3,0,0,3,0,1,0,1,1,0,1,2,0,2,0,2,5,7,0,1,0,2,1,0,2,0,0,8,0,0,1,1,2,0,0,0,0,2,0,3,3,0,1,7,0,3,1,2,1,0,1,2,5,1,1,1,1,1,0,4,3,3,0,0,92,1,91,26790.6313333516
P23,0,11,8,0,0,6,2,1,0,8,0,3,3,0,0,0,0,3,3,0,0,3,1,0,2,2,0,0,4,0,2,1,7,0,0,1,1,0,2,3,1,0,4,0,8,0,1,0,2,3,2,1,8,1,1,0,6,1,1,1,0,1,1,0,120,0,120,26787.3729882266
P24,2,2,0,0,1,0,2,1,1,1,0,5,2,4,2,1,0,2,11,2,0,1,9,0,0,2,4,0,0,1,5,4,2,1,1,0,0,1,4,0,1,1,0,0,1,3,1,0,3,1,0,3,0,1,9,2,0,0,0,2,2,0,5,2,111,0,111,26787.7486662874
P25,2,1,1,0,3,1,1,3,0,1,5,2,1,4,4,0,6,0,0,0,0,1,0,0,5,10,0,1,3,1,4,2,0,0,5,4,0,0,1,1,3,0,2,5,0,2,4,0,0,2,6,7,2,1,0,5,2,0,2,0,1,0,0,5,122,10,112,26791.6398844728
P26,3,1,0,6,1,1,0,0,0,2,11,0,0,2,0,0,3,0,1,0,1,0,1,3,0,0,4,2,6,0,2,0,0,4,0,1,0,1,2,2,3,1,0,0,0,2,0,4,1,4,4,4,0,2,0,4,0,2,4,0,0,3,3,0,101,4,97,26788.858559608998
P27,0,0,2,5,1,0,0,4,0,0,1,0,1,3,1,2,5,0,0,1,0,5,2,0,5,0,1,1,1,4,2,0,3,1,1,1,2,5,0,1,1,3,6,0,1,1,1,4,1,3,3,0,0,1,2,0,0,0,0,0,0,3,3,7,101,1,100,26791.266057016397
P28,0,3,3,1,0,0,1,0,0,2,2,2,0,1,0,2,0,3,0,1,3,2,5,4,0,0,4,1,2,1,4,1,1,1,4,6,0,0,2,0,1,3,0,2,0,0,4,0,0,0,8,1,0,0,4,0,2,1,1,1,1,0,0,7,98,2,96,26788.889143944598
P29,1,1,0,0,0,2,0,3,1,1,5,1,1,1,1,1,0,1,0,0,5,2,2,3,3,14,1,0,1,2,2,0,2,4,10,1,0,3,2,3,0,5,1,0,0,0,0,1,1,3,2,1,2,1,0,1,0,0,3,3,5,1,1,0,111,2,109,26789.306249142803
P30,0,0,4,0,0,0,5,1,4,2,2,0,0,1,1,1,0,0,0,5,1,1,1,4,0,0,1,0,1,4,0,3,0,2,1,2,0,0,1,1,2,3,0,0,1,3,2,2,2,2,0,0,4,0,0,3,1,1,8,1,1,0,0,1,86,0,86,26788.7112503072
P31,0,0,4,2,0,0,0,0,4,1,7,2,0,2,3,5,0,0,2,4,4,0,1,2,5,0,1,1,0,5,0,1,3,0,2,1,0,4,0,0,0,3,0,0,2,0,0,1,0,4,6,1,0,9,0,0,3,0,0,0,6,1,2,0,104,1,103,26789.977819923406
P32,4,0,0,0,0,1,3,2,5,3,0,2,3,1,4,1,0,2,1,1,3,2,1,0,0,2,1,3,0,3,1,1,0,0,0,3,4,1,1,2,1,1,2,0,1,5,0,0,4,0,1,1,6,0,1,2,2,9,1,0,0,0,0,0,98,0,98,26788.045354369002
P33,3,2,7,0,5,3,0,4,2,2,6,0,1,0,0,1,3,6,0,1,7,5,6,8,0,2,0,3,0,1,1,2,1,0,1,0,0,2,0,3,2,0,3,1,0,0,2,2,0,7,1,1,6,0,1,1,1,2,2,1,0,2,0,4,127,0,127,26787.382792952398
P34,0,2,0,2,2,0,0,1,0,0,0,1,1,2,1,0,1,1,0,3,2,1,3,3,0,0,0,3,0,2,0,7,0,2,1,2,0,1,2,2,0,1,3,2,2,0,1,3,0,0,2,0,7,0,9,0,0,1,1,0,1,1,2,4,88,1,87,26787.3201875712
P35,3,2,0,0,0,0,3,1,1,1,1,1,6,3,1,0,4,1,0,6,5,1,0,0,2,0,0,0,0,1,0,1,7,1,1,0,0,3,4,2,0,0,1,3,3,1,5,2,0,1,0,3,4,0,0,0,4,0,4,0,1,4,0,0,98,0,98,26790.523732663198
P36,3,0,0,0,5,0,1,1,1,0,1,2,0,1,0,1,2,0,1,6,0,0,8,3,1,0,1,1,0,0,0,0,1,0,2,1,2,5,0,2,0,0,1,2,2,0,2,0,0,0,0,1,2,6,1,6,0,1,4,0,0,0,0,6,86,2,84,26789.641134266
P37,1,1,1,1,3,1,6,0,2,0,7,2,0,0,1,7,1,4,6,0,2,4,1,0,0,1,3,3,1,2,3,3,0,2,0,2,7,1,3,0,0,0,2,2,0,0,17,0,3,0,0,1,2,0,0,2,0,1,3,0,5,1,2,0,123,1,122,26786.983632089206
P38,0,0,0,0,2,6,0,0,1,0,0,0,0,6,2,0,1,1,2,3,1,0,2,0,5,2,0,0,0,1,0,0,3,1,0,0,1,0,0,1,1,0,0,3,1,7,4,0,0,3,0,5,4,0,0,0,2,1,0,1,1,2,4,2,82,0,82,26787.945907591802
P39,8,1,5,6,0,0,0,2,1,1,0,0,1,0,1,0,1,0,0,2,0,0,0,0,0,0,1,1,0,0,0,6,0,5,3,17,1,3,7,3,2,1,2,4,0,1,0,0,3,7,3,2,2,0,0,2,1,1,1,0,2,0,2,4,116,3,113,26788.420041085803
P40,0,0,0,0,0,4,1,4,0,0,1,1,4,1,0,1,1,3,0,2,1,2,1,3,3,0,0,4,0,3,0,4,2,0,0,0,0,0,0,2,0,1,2,0,1,1,0,6,2,1,3,0,0,2,1,4,0,0,8,2,2,0,1,0,85,0,85,26791.109893327397
P41,0,0,1,2,0,0,0,1,1,1,3,0,1,3,0,0,1,0,1,4,0,0,3,2,3,0,1,1,0,0,0,0,2,1,0,0,0,3,4,0,1,2,1,0,6,0,2,3,1,1,0,0,2,1,1,0,0,1,2,5,0,3,2,1,74,2,72,26788.234345913203
P42,3,4,0,1,0,2,6,1,2,1,1,3,1,7,1,0,6,1,2,0,4,0,5,0,0,0,0,3,0,1,4,0,1,6,1,0,2,0,1,2,4,0,1,0,6,5,3,4,0,0,4,4,1,1,3,1,0,0,1,0,0,0,0,10,120,1,119,26788.101478574798
