Process,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,num_total,num_local,num_remote,L
P53,4,0,1,3,1,1,0,3,0,0,2,0,1,0,0,0,1,8,0,0,0,1,0,1,1,0,6,0,6,0,6,2,2,0,0,0,0,5,0,2,0,3,0,0,0,0,5,0,0,0,2,0,5,3,0,0,0,1,0,1,1,5,5,0,88,3,85,26787.4169158928
P54,0,3,4,0,0,3,1,1,2,0,0,0,1,1,5,0,0,4,0,0,0,0,0,1,0,1,2,1,2,0,3,1,1,1,0,6,0,0,0,0,1,0,7,0,1,4,1,0,0,6,3,1,0,0,1,0,0,2,1,1,0,0,6,4,83,1,82,26790.5878472326
P55,1,1,0,2,4,2,5,4,0,5,1,0,0,0,1,5,1,6,7,1,0,1,4,1,4,0,3,0,0,1,0,0,1,0,0,2,0,0,0,0,0,1,1,0,0,4,7,0,0,0,3,0,3,13,3,1,0,1,1,2,5,0,0,0,108,1,107,26788.134819512605
P56,0,0,1,0,3,0,2,0,7,0,1,0,0,1,0,1,4,1,0,0,0,0,0,1,0,2,8,1,0,2,1,0,1,0,7,7,1,5,0,0,2,4,0,0,3,3,0,1,2,4,5,5,0,0,3,2,1,2,1,0,6,0,0,1,102,1,101,26787.717943672204
P57,0,1,1,3,0,0,4,6,0,7,0,3,0,0,1,2,0,9,0,0,0,0,2,1,0,3,1,3,0,0,0,1,3,1,0,4,4,5,0,0,7,0,0,2,3,0,0,1,2,2,0,1,5,7,0,6,1,0,4,0,1,2,1,0,110,0,110,26787.120095733
P58,2,0,0,0,0,0,1,3,1,3,3,0,0,7,4,0,2,1,8,1,2,0,1,3,0,2,5,1,0,3,1,5,0,1,0,0,5,0,3,1,0,2,0,0,1,4,0,2,0,0,8,0,1,1,0,0,0,2,3,2,2,1,1,3,102,3,99,26791.841173651406
P59,1,5,0,1,5,0,1,4,0,1,4,0,2,4,0,4,1,1,0,2,0,0,1,1,2,0,0,3,1,1,2,0,0,3,2,0,0,0,0,5,0,2,3,0,4,2,0,2,1,0,0,1,0,4,0,18,2,0,0,2,4,0,0,0,102,2,100,26789.233968740205
P60,4,0,0,1,4,0,0,0,0,1,3,0,1,0,2,0,0,1,0,1,0,1,0,10,0,2,3,0,0,1,2,1,3,1,0,6,0,2,1,0,1,4,1,1,4,1,3,3,0,4,0,4,2,0,2,1,2,1,1,1,0,1,5,1,94,0,94,26787.985562322803
P61,5,1,3,4,0,6,5,0,5,0,1,0,7,4,0,2,1,0,0,0,1,20,1,0,0,0,0,1,1,1,0,2,0,4,2,0,2,1,2,0,9,1,0,4,3,10,0,4,0,0,0,2,0,7,0,0,3,1,2,1,0,1,3,0,133,1,132,26790.617508883202
P62,2,0,0,1,0,0,1,0,2,1,0,1,0,4,0,0,1,0,3,0,0,1,0,0,0,4,1,1,4,1,1,0,0,2,0,1,2,0,1,4,6,0,1,0,1,0,2,0,0,2,0,0,2,1,0,0,2,0,4,0,2,1,4,2,69,4,65,26789.4531259514
P63,1,0,1,1,1,0,1,3,0,0,0,0,2,5,0,1,3,0,5,2,4,0,0,1,1,0,0,3,0,2,1,0,0,0,1,1,0,0,2,0,2,2,2,0,0,3,8,3,1,9,0,0,2,1,0,0,0,0,1,0,4,1,2,5,88,5,83,26787.939495565402
