input_file,output_file,max_num_migrated_tasks,solutions_found,result_id,num_of_processes,num_of_tasks,imbalance_ratio,speedup,num_migrated_tasks,total_load,max_load,avg_load,min_load,max_load_before_rebalancing,avg_load_before_rebalancing,min_load_before_rebalancing,num_binary_variables,num_constraints,num_inequality_constraints,qpu_access_time,run_time,charge_time,problem_id,experiment_id,max_time
../experiments/varied_num_tasks/input_lrp/input_table_8nodes_8tasks.csv,new_outputs/3_varied_num_tasks/tasks_8_k_11_resultid_4.csv,11,25,4,8,64,0.1376596287021806,2.912747789099541,11,2018.44196312,287.03749179,252.30524539,221.74874542,836.0678196,252.30524539,12.66603468,224,17,17,32025,5090221,5000000,0fb88cad-eeba-417b-8b74-b8c8ba2152df,0,5.0
../experiments/varied_num_tasks/input_lrp/input_table_8nodes_8tasks.csv,new_outputs/3_varied_num_tasks/tasks_8_k_11_resultid_5.csv,11,25,5,8,64,0.1376596287021806,2.912747789099541,11,2018.44196312,287.03749179,252.30524539,221.74874542,836.0678196,252.30524539,12.66603468,224,17,17,32025,5090221,5000000,0fb88cad-eeba-417b-8b74-b8c8ba2152df,0,5.0
../experiments/varied_num_tasks/input_lrp/input_table_8nodes_8tasks.csv,new_outputs/3_varied_num_tasks/tasks_8_k_11_resultid_6.csv,11,25,6,8,64,0.1376596287021806,2.912747789099541,11,2018.44196312,287.03749179,252.30524539,221.74874542,836.0678196,252.30524539,12.66603468,224,17,17,32025,5090221,5000000,0fb88cad-eeba-417b-8b74-b8c8ba2152df,0,5.0
../experiments/varied_num_tasks/input_lrp/input_table_8nodes_8tasks.csv,new_outputs/3_varied_num_tasks/tasks_8_k_11_resultid_7.csv,11,25,7,8,64,0.1376596287021806,2.912747789099541,11,2018.44196312,287.03749179,252.30524539,221.74874542,836.0678196,252.30524539,12.66603468,224,17,17,32025,5090221,5000000,0fb88cad-eeba-417b-8b74-b8c8ba2152df,0,5.0
../experiments/varied_num_tasks/input_lrp/input_table_8nodes_8tasks.csv,new_outputs/3_varied_num_tasks/tasks_8_k_11_resultid_8.csv,11,25,8,8,64,0.1376596287021806,2.912747789099541,11,2018.44196312,287.03749179,252.30524539,221.74874542,836.0678196,252.30524539,12.66603468,224,17,17,32025,5090221,5000000,0fb88cad-eeba-417b-8b74-b8c8ba2152df,0,5.0
../experiments/varied_num_tasks/input_lrp/input_table_8nodes_8tasks.csv,new_outputs/3_varied_num_tasks/tasks_8_k_11_resultid_9.csv,11,25,9,8,64,0.1376596287021806,2.912747789099541,11,2018.44196312,287.03749179,252.30524539,221.74874542,836.0678196,252.30524539,12.66603468,224,17,17,32025,5090221,5000000,0fb88cad-eeba-417b-8b74-b8c8ba2152df,0,5.0
../experiments/varied_num_tasks/input_lrp/input_table_8nodes_8tasks.csv,new_outputs/3_varied_num_tasks/tasks_8_k_11_resultid_10.csv,11,25,10,8,64,0.1376596287021806,2.912747789099541,11,2018.44196312,287.03749179,252.30524539,221.74874542,836.0678196,252.30524539,12.66603468,224,17,17,32025,5090221,5000000,0fb88cad-eeba-417b-8b74-b8c8ba2152df,0,5.0
../experiments/varied_num_tasks/input_lrp/input_table_8nodes_8tasks.csv,new_outputs/3_varied_num_tasks/tasks_8_k_11_resultid_11.csv,11,25,11,8,64,0.1376596287021806,2.912747789099541,11,2018.44196312,287.03749179,252.30524539,221.74874542,836.0678196,252.30524539,12.66603468,224,17,17,32025,5090221,5000000,0fb88cad-eeba-417b-8b74-b8c8ba2152df,0,5.0
../experiments/varied_num_tasks/input_lrp/input_table_8nodes_8tasks.csv,new_outputs/3_varied_num_tasks/tasks_8_k_11_resultid_12.csv,11,25,12,8,64,0.1376596287021806,2.912747789099541,11,2018.44196312,287.03749179,252.30524539,221.74874542,836.0678196,252.30524539,12.66603468,224,17,17,32025,5090221,5000000,0fb88cad-eeba-417b-8b74-b8c8ba2152df,0,5.0
../experiments/varied_num_tasks/input_lrp/input_table_8nodes_8tasks.csv,new_outputs/3_varied_num_tasks/tasks_8_k_11_resultid_13.csv,11,25,13,8,64,0.1376596287021806,2.912747789099541,11,2018.44196312,287.03749179,252.30524539,221.74874542,836.0678196,252.30524539,12.66603468,224,17,17,32025,5090221,5000000,0fb88cad-eeba-417b-8b74-b8c8ba2152df,0,5.0
../experiments/varied_num_tasks/input_lrp/input_table_8nodes_8tasks.csv,new_outputs/3_varied_num_tasks/tasks_8_k_11_resultid_14.csv,11,25,14,8,64,0.1376596287021806,2.912747789099541,11,2018.44196312,287.03749179,252.30524539,221.74874542,836.0678196,252.30524539,12.66603468,224,17,17,32025,5090221,5000000,0fb88cad-eeba-417b-8b74-b8c8ba2152df,0,5.0
../experiments/varied_num_tasks/input_lrp/input_table_8nodes_8tasks.csv,new_outputs/3_varied_num_tasks/tasks_8_k_11_resultid_15.csv,11,25,15,8,64,0.1376596287021806,2.912747789099541,11,2018.44196312,287.03749179,252.30524539,221.74874542,836.0678196,252.30524539,12.66603468,224,17,17,32025,5090221,5000000,0fb88cad-eeba-417b-8b74-b8c8ba2152df,0,5.0
../experiments/varied_num_tasks/input_lrp/input_table_8nodes_8tasks.csv,new_outputs/3_varied_num_tasks/tasks_8_k_11_resultid_16.csv,11,25,16,8,64,0.1376596287021806,2.912747789099541,11,2018.44196312,287.03749179,252.30524539,221.74874542,836.0678196,252.30524539,12.66603468,224,17,17,32025,5090221,5000000,0fb88cad-eeba-417b-8b74-b8c8ba2152df,0,5.0
../experiments/varied_num_tasks/input_lrp/input_table_8nodes_8tasks.csv,new_outputs/3_varied_num_tasks/tasks_8_k_11_resultid_17.csv,11,25,17,8,64,0.1376596287021806,2.912747789099541,11,2018.44196312,287.03749179,252.30524539,221.74874542,836.0678196,252.30524539,12.66603468,224,17,17,32025,5090221,5000000,0fb88cad-eeba-417b-8b74-b8c8ba2152df,0,5.0
../experiments/varied_num_tasks/input_lrp/input_table_8nodes_8tasks.csv,new_outputs/3_varied_num_tasks/tasks_8_k_11_resultid_18.csv,11,25,18,8,64,0.1376596287021806,2.912747789099541,11,2018.44196312,287.03749179,252.30524539,221.74874542,836.0678196,252.30524539,12.66603468,224,17,17,32025,5090221,5000000,0fb88cad-eeba-417b-8b74-b8c8ba2152df,0,5.0
../experiments/varied_num_tasks/input_lrp/input_table_8nodes_8tasks.csv,new_outputs/3_varied_num_tasks/tasks_8_k_11_resultid_19.csv,11,25,19,8,64,0.1376596287021806,2.912747789099541,11,2018.44196312,287.03749179,252.30524539,221.74874542,836.0678196,252.30524539,12.66603468,224,17,17,32025,5090221,5000000,0fb88cad-eeba-417b-8b74-b8c8ba2152df,0,5.0
../experiments/varied_num_tasks/input_lrp/input_table_8nodes_8tasks.csv,new_outputs/3_varied_num_tasks/tasks_8_k_11_resultid_20.csv,11,25,20,8,64,0.1376596287021806,2.912747789099541,11,2018.44196312,287.03749179,252.30524539,221.74874542,836.0678196,252.30524539,12.66603468,224,17,17,32025,5090221,5000000,0fb88cad-eeba-417b-8b74-b8c8ba2152df,0,5.0
../experiments/varied_num_tasks/input_lrp/input_table_8nodes_8tasks.csv,new_outputs/3_varied_num_tasks/tasks_8_k_11_resultid_21.csv,11,25,21,8,64,0.1376596287021806,2.912747789099541,11,2018.44196312,287.03749179,252.30524539,221.74874542,836.0678196,252.30524539,12.66603468,224,17,17,32025,5090221,5000000,0fb88cad-eeba-417b-8b74-b8c8ba2152df,0,5.0
