Process,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,num_total,num_local,num_remote,L
P10,1,1,4,0,0,0,0,1,1,1,84,2,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,0,2,4,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,3,1,1,0,0,3,5,4,1,0,1,0,1,136,84,52,26087.144405836603
P11,0,0,1,2,0,0,0,0,0,0,0,84,0,0,0,0,1,1,0,2,0,1,0,0,0,0,2,1,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,9,2,0,0,1,0,4,0,121,84,37,26469.8660855326
P12,0,0,2,0,0,0,0,4,3,0,0,1,84,3,0,1,1,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0,1,2,1,0,1,0,0,1,0,0,1,2,0,1,0,0,2,1,0,1,1,0,1,3,1,2,0,7,3,0,0,1,138,84,54,25956.2006068172
P13,0,0,0,0,0,1,0,0,2,0,0,0,0,68,0,2,0,0,0,0,2,0,1,1,1,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1,0,0,0,0,3,0,0,0,1,1,0,1,0,1,1,2,6,3,3,0,0,107,68,39,26702.3658156344
P14,2,2,0,0,0,1,0,0,0,0,0,0,0,0,84,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,2,1,0,1,0,0,4,0,0,0,0,0,2,0,0,1,0,0,0,0,2,1,0,0,1,0,6,0,3,2,0,3,2,0,125,84,41,26653.354052056402
P15,2,0,0,2,1,1,0,0,1,1,1,0,0,0,1,62,2,3,0,0,0,1,0,0,2,0,1,1,0,1,0,1,1,1,0,0,0,2,0,2,0,0,1,0,0,8,0,0,0,0,0,0,2,0,0,0,5,1,0,2,3,0,0,4,116,62,54,26068.3363838258
P16,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1,2,0,0,0,0,0,7,1,0,1,1,3,3,0,96,67,29,26484.3220253056
P17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,68,3,0,0,1,1,1,0,2,1,0,0,1,2,1,0,1,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,5,3,2,3,3,0,1,2,1,2,1,2,114,68,46,26597.884015076197
P18,1,0,1,0,1,1,1,3,0,3,0,0,0,1,0,0,1,0,79,0,0,1,0,0,1,0,1,0,0,1,0,5,0,1,0,2,0,0,1,0,0,1,0,0,1,0,0,0,1,0,3,0,0,0,0,1,2,2,3,3,0,2,3,0,127,79,48,26069.780758869798
P19,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,2,0,0,1,71,0,0,2,1,0,0,0,1,0,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,1,1,2,0,3,0,4,0,4,2,0,0,1,1,1,6,1,3,0,117,71,46,26483.734412668004
P20,0,1,2,0,3,3,0,0,1,0,0,0,0,0,1,2,0,0,0,0,68,0,0,0,0,1,0,0,4,0,0,0,1,0,0,0,0,1,0,0,2,1,0,0,0,2,2,1,2,0,0,0,2,0,1,2,0,3,1,3,3,1,1,2,117,68,49,26485.103765495598
P21,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,68,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,2,1,1,3,1,3,1,3,1,2,1,98,68,30,26428.657590385403
P22,5,3,2,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,68,1,2,0,3,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,3,3,0,2,0,0,0,0,0,0,6,0,8,117,68,49,26480.771382331397
P23,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,63,0,1,1,0,0,0,1,0,0,3,0,0,0,0,1,0,0,1,1,0,0,3,1,0,1,0,2,0,0,2,0,0,0,4,2,1,3,1,1,3,100,63,37,26506.023684985405
P24,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,2,1,1,1,0,1,1,79,1,1,0,0,0,1,3,0,2,0,1,1,0,3,0,0,0,0,1,0,0,0,1,3,0,0,0,0,3,1,0,0,0,1,6,3,0,3,1,128,79,49,26109.843990342597
P25,4,4,0,1,1,0,0,0,1,3,0,0,0,0,0,3,4,1,0,1,0,0,0,0,0,66,1,0,0,1,0,2,1,1,0,2,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,2,3,1,1,3,5,1,0,2,0,3,1,1,125,66,59,26300.425233831804
P26,0,0,2,1,1,0,0,1,0,0,1,0,3,0,1,1,1,1,0,2,1,2,1,0,0,1,68,0,0,0,2,0,1,0,0,0,0,1,0,0,0,1,0,1,2,0,1,2,0,0,0,0,3,0,0,1,4,3,5,0,0,0,1,0,116,68,48,25925.8592186086
