Process,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,num_total,num_local,num_remote,L
P43,2,1,2,1,1,2,1,1,1,2,2,2,2,1,1,1,2,1,2,1,2,3,2,2,1,1,1,2,2,2,1,1,2,1,1,1,1,2,3,2,1,2,2,1,1,1,2,2,2,1,2,1,1,1,3,0,2,2,2,1,3,1,1,1,98,1,97,26789.08803
P44,2,1,2,3,1,1,2,2,3,1,1,1,1,1,1,1,2,1,2,2,2,2,2,1,1,2,2,2,2,1,1,2,1,1,2,1,2,1,1,2,2,2,1,2,2,2,2,1,2,1,1,1,1,2,2,0,1,2,2,2,2,1,1,2,99,2,97,26789.08805
P45,2,1,2,3,1,1,2,2,3,1,1,1,1,1,1,1,2,1,2,2,2,2,2,1,1,2,2,2,2,1,1,2,1,1,2,1,2,1,1,2,2,2,1,2,2,2,2,1,2,1,1,1,1,2,2,0,1,2,2,2,2,1,1,2,99,2,97,26789.08805
P46,2,1,2,3,1,1,2,2,3,1,1,1,1,1,1,1,2,1,2,2,2,2,2,1,1,2,2,2,2,1,1,2,1,1,2,1,2,1,1,2,2,2,1,2,2,2,2,1,2,1,1,1,1,2,2,0,1,2,2,2,2,1,1,2,99,2,97,26789.08805
P47,2,1,2,3,1,1,2,2,3,1,1,1,1,1,1,1,2,1,2,2,2,2,2,1,1,2,2,2,2,1,1,2,1,1,2,1,2,1,1,2,2,2,1,2,2,2,2,1,2,1,1,1,1,2,2,0,1,2,2,2,2,1,1,2,99,1,98,26789.08805
P48,1,2,2,2,1,1,2,2,2,1,1,1,2,2,2,3,2,1,2,1,2,1,2,2,1,2,1,2,2,2,1,1,2,1,2,1,1,2,1,2,2,2,2,1,1,2,2,2,2,1,1,1,2,2,1,0,1,1,3,1,2,2,2,1,101,2,99,26789.08829
P49,1,2,2,2,1,1,2,2,2,1,1,1,2,2,2,3,2,1,2,1,2,1,2,2,1,2,1,2,2,2,1,1,2,1,2,1,1,2,1,2,2,2,2,1,1,2,2,2,2,1,1,1,2,2,1,0,1,1,3,1,2,2,2,1,101,1,100,26789.08829
P50,1,2,2,2,1,1,2,2,2,1,1,1,2,2,2,3,2,1,2,1,2,1,2,2,1,2,1,2,2,2,1,1,2,1,2,1,1,2,1,2,2,2,2,1,1,2,2,2,2,1,1,1,2,2,1,0,1,1,3,1,2,2,2,1,101,1,100,26789.08829
P51,1,2,2,2,1,1,2,2,2,1,1,1,2,2,2,3,2,1,2,1,2,1,2,2,1,2,1,2,2,2,1,1,2,1,2,1,1,2,1,2,2,2,2,1,1,2,2,2,2,1,1,1,2,2,1,0,1,1,3,1,2,2,2,1,101,1,100,26789.08829
P52,1,2,1,2,2,2,1,1,1,2,2,2,2,2,1,0,2,1,2,2,2,2,0,2,2,1,1,1,2,2,2,1,2,2,2,2,1,2,1,1,2,1,2,1,1,2,2,2,1,1,2,3,2,1,1,3,2,1,1,1,1,2,2,2,101,2,99,26789.09102
P53,1,2,1,2,2,2,1,1,1,2,2,2,2,2,1,0,2,1,2,2,2,2,0,2,2,1,1,1,2,2,2,1,2,2,2,2,1,2,1,1,2,1,2,1,1,2,2,2,1,1,2,3,2,1,1,3,2,1,1,1,1,2,2,2,101,1,100,26789.09102
P54,1,2,1,2,2,2,1,1,1,2,2,2,2,2,1,0,2,1,2,2,2,2,0,2,2,1,1,1,2,2,2,1,2,2,2,2,1,2,1,1,2,1,2,1,1,2,2,2,1,1,2,3,2,1,1,3,2,1,1,1,1,2,2,2,101,1,100,26789.09102
P55,1,2,1,2,2,2,1,1,1,2,2,2,2,2,1,0,2,1,2,2,2,2,0,2,2,1,1,1,2,2,2,1,2,2,2,2,1,2,1,1,2,1,2,1,1,2,2,2,1,1,2,3,2,1,1,3,2,1,1,1,1,2,2,2,101,3,98,26789.09102
P56,2,2,1,1,2,1,1,2,1,2,2,2,2,1,2,2,0,3,1,1,1,1,1,2,3,2,2,2,1,2,2,1,2,1,2,3,2,1,1,1,1,2,1,1,2,1,1,2,2,2,2,1,2,2,1,3,2,2,1,2,1,1,1,2,102,2,100,26789.09119
P57,2,2,1,1,2,1,1,2,1,2,2,2,2,1,2,2,0,3,1,1,1,1,1,2,3,2,2,2,1,2,2,1,2,1,2,3,2,1,1,1,1,2,1,1,2,1,1,2,2,2,2,1,2,2,1,3,2,2,1,2,1,1,1,2,102,2,100,26789.09119
P58,2,2,1,1,2,1,1,2,1,2,2,2,2,1,2,2,0,3,1,1,1,1,1,2,3,2,2,2,1,2,2,1,2,1,2,3,2,1,1,1,1,2,1,1,2,1,1,2,2,2,2,1,2,2,1,3,2,2,1,2,1,1,1,2,102,1,101,26789.09119
P59,2,2,1,1,2,1,1,2,1,2,2,2,2,1,2,2,0,3,1,1,1,1,1,2,3,2,2,2,1,2,2,1,2,1,2,3,2,1,1,1,1,2,1,1,2,1,1,2,2,2,2,1,2,2,1,3,2,2,1,2,1,1,1,2,102,2,100,26789.09119
P60,1,2,1,1,1,2,2,1,1,2,2,2,1,3,2,2,1,2,1,1,2,2,2,2,2,1,1,0,1,2,3,1,2,2,1,2,1,2,3,1,1,1,2,1,1,2,1,1,1,2,2,2,1,1,3,0,2,2,2,1,2,2,2,0,99,2,97,26789.0914
P61,1,2,1,1,1,2,2,1,1,2,2,2,1,3,2,2,1,2,1,1,2,2,2,2,2,1,1,0,1,2,3,1,2,2,1,2,1,2,3,1,1,1,2,1,1,2,1,1,1,2,2,2,1,1,3,0,2,2,2,1,2,2,2,0,99,2,97,26789.0914
P62,1,2,1,1,1,2,2,1,1,2,2,2,1,3,2,2,1,2,1,1,2,2,2,2,2,1,1,0,1,2,3,1,2,2,1,2,1,2,3,1,1,1,2,1,1,2,1,1,1,2,2,2,1,1,3,0,2,2,2,1,2,2,2,0,99,2,97,26789.0914
P63,1,2,1,1,1,2,2,1,1,2,2,2,1,3,2,2,1,2,1,1,2,2,2,2,2,1,1,0,1,2,3,1,2,2,1,2,1,2,3,1,1,1,2,1,1,2,1,1,1,2,2,2,1,1,3,0,2,2,2,1,2,2,2,0,99,0,99,26789.0914
